from,to,weight,relation
Carrassco,Lloris,0,no
Carrassco,Mandanda,1,no
Carrassco,Abidal,0,no
Carrassco,Glichy,0,no
Carrassco,Evra,0,no
Carrassco,Gallas,0,no
Carrassco,Planus ,1,yes
Carrassco,Réveillere,0,no
Carrassco,Sagna,0,no
Carrassco,Squillaci,0,no
Carrassco,Diaby,0,no
Carrassco,Diarra,1,yes
Carrassco,Gourcuff,1,yes
Carrassco,Malouda,0,no
Carrassco,Ribéry,3,no
Carrassco,Toulalan,0,no
Carrassco,Anelka,0,no
Carrassco,Cissé,2,no
Carrassco,Gignac,1,no
Carrassco,Govou,0,no
Carrassco,Henry,0,no
Carrassco,Valbuena,2,no
Lloris ,Mandanda,0,no
Lloris ,Abidal,0,no
Lloris ,Glichy,0,no
Lloris ,Evra,0,no
Lloris ,Gallas,0,no
Lloris ,Planus ,0,no
Lloris ,Réveillere,2,yes
Lloris ,Sagna,0,no
Lloris ,Squillaci,0,no
Lloris ,Diaby,0,no
Lloris ,Diarra,0,no
Lloris ,Gourcuff,0,no
Lloris ,Malouda,0,no
Lloris ,Ribéry,0,no
Lloris ,Toulalan,2,yes
Lloris ,Anelka,0,no
Lloris ,Cissé,0,no
Lloris ,Gignac,0,no
Lloris ,Govou,2,yes
Lloris ,Henry,0,no
Lloris ,Valbuena,0,no
Mandanda,Abidal,0,no
Mandanda,Glichy,0,no
Mandanda,Evra,0,no
Mandanda,Gallas,0,no
Mandanda,Planus ,0,no
Mandanda,Réveillere,0,no
Mandanda,Sagna,0,no
Mandanda,Squillaci,0,no
Mandanda,Diaby,0,no
Mandanda,Diarra,0,no
Mandanda,Gourcuff,0,no
Mandanda,Malouda,0,no
Mandanda,Ribéry,1,no
Mandanda,Toulalan,0,no
Mandanda,Anelka,0,no
Mandanda,Cissé,2,no
Mandanda,Gignac,0,no
Mandanda,Govou,0,no
Mandanda,Henry,0,no
Mandanda,Valbuena,3,yes
Abidal,Glichy,0,no
Abidal,Evra,0,no
Abidal,Gallas,0,no
Abidal,Planus ,0,no
Abidal,Réveillere,3,no
Abidal,Sagna,0,no
Abidal,Squillaci,3,no
Abidal,Diaby,0,no
Abidal,Diarra,1,no
Abidal,Gourcuff,0,no
Abidal,Malouda,3,no
Abidal,Ribéry,0,no
Abidal,Toulalan,1,no
Abidal,Anelka,0,no
Abidal,Cissé,0,no
Abidal,Gignac,0,no
Abidal,Govou,3,no
Abidal,Henry,3,yes
Abidal,Valbuena,0,no
Glichy,Evra,0,no
Glichy,Gallas,4,yes
Glichy,Planus ,0,no
Glichy,Réveillere,0,no
Glichy,Sagna,3,yes
Glichy,Squillaci,0,no
Glichy,Diaby,4,yes
Glichy,Diarra,0,no
Glichy,Gourcuff,0,no
Glichy,Malouda,0,no
Glichy,Ribéry,0,no
Glichy,Toulalan,0,no
Glichy,Anelka,0,no
Glichy,Cissé,0,no
Glichy,Gignac,0,no
Glichy,Govou,0,no
Glichy,Henry,4,no
Glichy,Valbuena,0,no
Evra,Gallas,0,no
Evra,Planus ,0,no
Evra,Réveillere,0,no
Evra,Sagna,0,no
Evra,Squillaci,4,no
Evra,Diaby,0,no
Evra,Diarra,0,no
Evra,Gourcuff,0,no
Evra,Malouda,0,no
Evra,Ribéry,0,no
Evra,Toulalan,0,no
Evra,Anelka,0,no
Evra,Cissé,0,no
Evra,Gignac,0,no
Evra,Govou,0,no
Evra,Henry,0,no
Evra,Valbuena,0,no
Gallas,Planus ,0,no
Gallas,Réveillere,0,no
Gallas,Sagna,3,yes
Gallas,Squillaci,0,no
Gallas,Diaby,4,yes
Gallas,Diarra,0,no
Gallas,Gourcuff,0,no
Gallas,Malouda,0,no
Gallas,Ribéry,0,no
Gallas,Toulalan,0,no
Gallas,Anelka,0,no
Gallas,Cissé,0,no
Gallas,Gignac,0,no
Gallas,Govou,0,no
Gallas,Henry,1,no
Gallas,Valbuena,0,no
Planus,Réveillere,0,no
Planus,Sagna,0,no
Planus,Squillaci,0,no
Planus,Diaby,0,no
Planus,Diarra,3,yes
Planus,Gourcuff,2,yes
Planus,Malouda,0,no
Planus,Ribéry,0,no
Planus,Toulalan,0,no
Planus,Anelka,0,no
Planus,Cissé,0,no
Planus,Gignac,0,no
Planus,Govou,0,no
Planus,Henry,0,no
Planus,Valbuena,0,no
Réveillere,Sagna,0,no
Réveillere,Squillaci,2,no
Réveillere,Diaby,0,no
Réveillere,Diarra,1,no
Réveillere,Gourcuff,0,no
Réveillere,Malouda,0,no
Réveillere,Ribéry,0,no
Réveillere,Toulalan,4,yes
Réveillere,Anelka,0,no
Réveillere,Cissé,0,no
Réveillere,Gignac,0,no
Réveillere,Govou,7,yes
Réveillere,Henry,0,no
Réveillere,Valbuena,0,no
Sagna,Squillaci,0,no
Sagna,Diaby,5,yes
Sagna,Diarra,0,no
Sagna,Gourcuff,0,no
Sagna,Malouda,0,no
Sagna,Ribéry,0,no
Sagna,Toulalan,0,no
Sagna,Anelka,0,no
Sagna,Cissé,1,no
Sagna,Gignac,0,no
Sagna,Govou,0,no
Sagna,Henry,0,no
Sagna,Valbuena,0,no
Squillaci,Diaby,0,no
Squillaci,Diarra,1,no
Squillaci,Gourcuff,0,no
Squillaci,Malouda,1,no
Squillaci,Ribéry,0,no
Squillaci,Toulalan,2,no
Squillaci,Anelka,0,no
Squillaci,Cissé,0,no
Squillaci,Gignac,0,no
Squillaci,Govou,2,no
Squillaci,Henry,0,no
Squillaci,Valbuena,0,no
Diaby,Diarra,0,no
