from,to,weight,relation
Ruffier,Landreu,0,no
Ruffier,Lloris,0,no
Ruffier,Debuchy,0,no
Ruffier,Digne,0,no
Ruffier,Evra,2,no
Ruffier,Koscielny,0,no
Ruffier,Mangala,0,no
Ruffier,Sagna,0,no
Ruffier,Sakho,0,no
Ruffier,Varane,0,no
Ruffier,Cabaye,0,no
Ruffier,Matuidi,0,no
Ruffier,Mavuba,0,no
Ruffier,Pogba,0,no
Ruffier,Schneiderlin,0,no
Ruffier,Sissoko,0,no
Ruffier,Valbuena,0,no
Ruffier,Benzema,0,no
Ruffier,Cabella,0,no
Ruffier,Giroud,0,no
Ruffier,Griezmann,0,no
Ruffier,Remy,0,no
Landreu,Lloris,0,no
Landreu,Debuchy,4,no
Landreu,Digne,3,no
Landreu,Evra,0,no
Landreu,Koscielny,0,no
Landreu,Mangala,0,no
Landreu,Sagna,0,no
Landreu,Sakho,2,no
Landreu,Varane,0,no
Landreu,Cabaye,2,no
Landreu,Matuidi,0,no
Landreu,Mavuba,4,no
Landreu,Pogba,0,no
Landreu,Schneiderlin,0,no
Landreu,Sissoko,0,no
Landreu,Valbuena,0,no
Landreu,Benzema,0,no
Landreu,Cabella,0,no
Landreu,Giroud,0,no
Landreu,Griezmann,0,no
Landreu,Remy,0,no
Lloris,Debuchy,0,no
Lloris,Digne,0,no
Lloris,Evra,0,no
Lloris,Koscielny,0,no
Lloris,Mangala,0,no
Lloris,Sagna,0,no
Lloris,Sakho,0,no
Lloris,Varane,0,no
Lloris,Cabaye,0,no
Lloris,Matuidi,0,no
Lloris,Mavuba,0,no
Lloris,Pogba,0,no
Lloris,Schneiderlin,0,no
Lloris,Sissoko,0,no
Lloris,Valbuena,0,no
Lloris,Benzema,0,no
Lloris,Cabella,0,no
Lloris,Giroud,0,no
Lloris,Griezmann,1,no
Lloris,Remy,0,no
Debuchy,Digne,0,no
Debuchy,Evra,0,no
Debuchy,Koscielny,1,yes
Debuchy,Mangala,0,no
Debuchy,Sagna,1,yes
Debuchy,Sakho,0,no
Debuchy,Varane,0,no
Debuchy,Cabaye,7,no
Debuchy,Matuidi,0,no
Debuchy,Mavuba,5,no
Debuchy,Pogba,0,no
Debuchy,Schneiderlin,0,no
Debuchy,Sissoko,0,no
Debuchy,Valbuena,0,no
Debuchy,Benzema,0,no
Debuchy,Cabella,0,no
Debuchy,Giroud,1,yes
Debuchy,Griezmann,0,no
Debuchy,Remy,0,no
Digne,Evra,0,no
Digne,Koscielny,0,no
Digne,Mangala,0,no
Digne,Sagna,0,no
Digne,Sakho,0,no
Digne,Varane,0,no
Digne,Cabaye,1,no
Digne,Matuidi,1,yes
Digne,Mavuba,3,no
Digne,Pogba,0,no
Digne,Schneiderlin,0,no
Digne,Sissoko,0,no
Digne,Valbuena,0,no
Digne,Benzema,0,no
Digne,Cabella,0,no
Digne,Giroud,0,no
Digne,Griezmann,0,no
Digne,Remy,0,no
Evra,Koscielny,0,no
Evra,Mangala,0,no
Evra,Sagna,0,no
Evra,Sakho,0,no
Evra,Varane,0,no
Evra,Cabaye,0,no
Evra,Matuidi,0,no
Evra,Mavuba,0,no
Evra,Pogba,1,no
Evra,Schneiderlin,0,no
Evra,Sissoko,0,no
Evra,Valbuena,0,no
Evra,Benzema,0,no
Evra,Cabella,0,no
Evra,Giroud,0,no
Evra,Griezmann,0,no
Evra,Remy,0,no
Koscielny,Mangala,0,no
Koscielny,Sagna,4,yes
Koscielny,Sakho,0,no
Koscielny,Varane,0,no
Koscielny,Cabaye,0,no
Koscielny,Matuidi,0,no
Koscielny,Mavuba,0,no
Koscielny,Pogba,0,no
Koscielny,Schneiderlin,0,no
Koscielny,Sissoko,0,no
Koscielny,Valbuena,0,no
Koscielny,Benzema,0,no
Koscielny,Cabella,0,no
Koscielny,Giroud,3,yes
Koscielny,Griezmann,0,no
Koscielny,Remy,0,no
Mangala,Sagna,0,no
Mangala,Sakho,0,no
Mangala,Varane,0,no
Mangala,Cabaye,0,no
Mangala,Matuidi,0,no
Mangala,Mavuba,0,no
Mangala,Pogba,0,no
Mangala,Schneiderlin,0,no
Mangala,Sissoko,0,no
Mangala,Valbuena,0,no
Mangala,Benzema,0,no
Mangala,Cabella,0,no
Mangala,Giroud,0,no
Mangala,Griezmann,0,no
Mangala,Remy,0,no
Sagna,Sakho,0,no
Sagna,Varane,0,no
Sagna,Cabaye,0,no
Sagna,Matuidi,0,no
Sagna,Mavuba,0,no
Sagna,Pogba,0,no
Sagna,Schneiderlin,0,no
