from,to,weight,relation
Areola,Kimpembe,2,yes
Areola,Matuidi,3,no
Areola,Mbappe,1,yes
Lloris,Fekir,1,no
Mandanda,Mendy,3,no
Mandanda,Rami,1,yes
Mandanda,Umtiti,6,no
Mandanda,Thauvin,4,yes
Hernandez,Griezmann,4,yes
Kimpembe,Matuidi,3,no
Kimpembe,Mbappe,1,yes
Mendy,Sidibe,1,no
Mendy,Umtiti,3,no
Mendy,Thauvin,3,no
Mendy,Mbappe,1,no
Mendy,Lemar,1,no
Pavard,Sidibe,2,no
Rami,NZonzi,2,no
Rami,Thauvin,1,yes
Sidibe,Thauvin,1,no
Sidibe,Mbappe,1,no
Sidibe,Lemar,2,yes
Umtiti,Thauvin,3,no
Umtiti,Dembele,1,yes
Fekir,Tolisso,5,no
Kante,Giroud,1,yes
Kante,Lemar,2,no
Mbappe,Lemar,2,no
