from,to,weight,relation
Neuer,Butt,0,no
Neuer,Wiese,0,no
Neuer,Aogo,0,no
Neuer,Badstuber,0,no
Neuer,Boateng,0,no
Neuer,Friedrich,0,no
Neuer,Lahm,0,no
Neuer,Mertesacker,0,no
Neuer,Tasci,0,no
Neuer,Jansen,0,no
Neuer,Khedira,0,no
Neuer,Kroos,0,no
Neuer,Marin,0,no
Neuer,Oezil,1,no
Neuer,Schweinsteiger,0,no
Neuer,Trochowski,0,no
Neuer,Cacau,0,no
Neuer,Gomez,0,no
Neuer,Kiessling,0,no
Neuer,Klose,0,no
Neuer,Mueller,0,no
Neuer,Podolski,0,no
Butt,Wiese,0,no
Butt,Aogo,0,no
Butt,Badstuber,2,yes
Butt,Boateng,0,no
Butt,Friedrich,0,no
Butt,Lahm,2,yes
Butt,Mertesacker,0,no
Butt,Tasci,0,no
Butt,Jansen,0,no
Butt,Khedira,0,no
Butt,Kroos,1,yes
Butt,Marin,0,no
Butt,Oezil,0,no
Butt,Schweinsteiger,2,yes
Butt,Trochowski,0,no
Butt,Cacau,0,no
Butt,Gomez,0,no
Butt,Kiessling,1,no
Butt,Klose,2,yes
Butt,Mueller,1,yes
Butt,Podolski,1,no
Wiese,Aogo,0,no
Wiese,Badstuber,0,no
Wiese,Boateng,0,no
Wiese,Friedrich,0,no
Wiese,Lahm,0,no
Wiese,Mertesacker,4,yes
Wiese,Tasci,0,no
Wiese,Jansen,0,no
Wiese,Khedira,0,no
Wiese,Kroos,0,no
Wiese,Marin,1,yes
Wiese,Oezil,3,yes
Wiese,Schweinsteiger,0,no
Wiese,Trochowski,0,no
Wiese,Cacau,0,no
Wiese,Gomez,0,no
Wiese,Kiessling,0,no
Wiese,Klose,2,no
Wiese,Mueller,0,no
Wiese,Podolski,0,no
Aogo,Badstuber,0,no
Aogo,Boateng,2,yes
Aogo,Friedrich,0,no
Aogo,Lahm,0,no
Aogo,Mertesacker,0,no
Aogo,Tasci,0,no
Aogo,Jansen,2,yes
Aogo,Khedira,0,no
Aogo,Kroos,0,no
Aogo,Marin,0,no
Aogo,Oezil,0,no
Aogo,Schweinsteiger,0,no
Aogo,Trochowski,2,yes
Aogo,Cacau,0,no
Aogo,Gomez,0,no
Aogo,Kiessling,0,no
Aogo,Klose,0,no
Aogo,Mueller,0,no
Aogo,Podolski,0,no
Badstuber,Boateng,0,no
Badstuber,Friedrich,0,no
Badstuber,Lahm,3,yes
Badstuber,Mertesacker,0,no
Badstuber,Tasci,0,no
Badstuber,Jansen,1,no
Badstuber,Khedira,0,no
Badstuber,Kroos,2,yes
Badstuber,Marin,0,no
Badstuber,Oezil,0,no
Badstuber,Schweinsteiger,3,yes
Badstuber,Trochowski,0,no
Badstuber,Cacau,0,no
Badstuber,Gomez,1,yes
Badstuber,Kiessling,0,no
Badstuber,Klose,3,yes
Badstuber,Mueller,1,yes
Badstuber,Podolski,0,no
Boateng,Friedrich,1,no
Boateng,Lahm,0,no
Boateng,Mertesacker,0,no
Boateng,Tasci,0,no
Boateng,Jansen,0,no
Boateng,Khedira,0,no
Boateng,Kroos,0,no
Boateng,Marin,0,no
Boateng,Oezil,0,no
Boateng,Schweinsteiger,0,no
Boateng,Trochowski,3,yes
Boateng,Cacau,0,no
Boateng,Gomez,0,no
Boateng,Kiessling,0,no
Boateng,Klose,0,no
Boateng,Mueller,0,no
Boateng,Podolski,0,no
Friedrich,Lahm,0,no
Friedrich,Mertesacker,0,no
Friedrich,Tasci,0,no
Friedrich,Jansen,0,no
Friedrich,Khedira,0,no
Friedrich,Kroos,0,no
Friedrich,Marin,0,no
Friedrich,Oezil,0,no
Friedrich,Schweinsteiger,0,no
Friedrich,Trochowski,0,no
Friedrich,Cacau,0,no
Friedrich,Gomez,0,no
Friedrich,Kiessling,0,no
Friedrich,Klose,0,no
Friedrich,Mueller,0,no
Friedrich,Podolski,0,no
Lahm,Mertesacker,0,no
Lahm,Tasci,0,no
Lahm,Jansen,0,no
Lahm,Khedira,0,no
Lahm,Kroos,0,no
Lahm,Marin,0,no
Lahm,Oezil,0,no
Lahm,Schweinsteiger,7,yes
Lahm,Trochowski,0,no
Lahm,Cacau,1,no
Lahm,Gomez,1,yes
Lahm,Kiessling,0,no
Lahm,Klose,3,yes
Lahm,Mueller,1,yes
Lahm,Podolski,3,no
Mertesacker,Tasci,0,no
Mertesacker,Jansen,0,no
Mertesacker,Khedira,0,no
Mertesacker,Kroos,0,no
Mertesacker,Marin,1,yes
Mertesacker,Oezil,3,yes
Mertesacker,Schweinsteiger,0,no
Mertesacker,Trochowski,0,no
Mertesacker,Cacau,0,no
Mertesacker,Gomez,0,no
Mertesacker,Kiessling,0,no
Mertesacker,Klose,1,no
Mertesacker,Mueller,0,no
Mertesacker,Podolski,0,no
Tasci,Jansen,0,no
Tasci,Khedira,4,yes
Tasci,Kroos,0,no
Tasci,Marin,0,no
Tasci,Oezil,0,no
Tasci,Schweinsteiger,0,no
Tasci,Trochowski,0,no
Tasci,Cacau,5,yes
Tasci,Gomez,4,no
Tasci,Kiessling,0,no
Tasci,Klose,0,no
Tasci,Mueller,0,no
Tasci,Podolski,0,no
Jansen,Khedira,0,no
Jansen,Kroos,1,no
Jansen,Marin,1,no
Jansen,Oezil,0,no
Jansen,Schweinsteiger,1,no
Jansen,Trochowski,2,yes
Jansen,Cacau,0,no
Jansen,Gomez,0,no
Jansen,Kiessling,0,no
Jansen,Klose,1,no
Jansen,Mueller,0,no
Jansen,Podolski,1,no
Khedira,Kroos,0,no
Khedira,Marin,0,no
Khedira,Oezil,0,no
Khedira,Schweinsteiger,0,no
Khedira,Trochowski,0,no
Khedira,Cacau,4,yes
Khedira,Gomez,3,no
Khedira,Kiessling,0,no
Khedira,Klose,0,no
Khedira,Mueller,0,no
Khedira,Podolski,0,no
Kroos,Marin,0,no
Kroos,Oezil,0,no
Kroos,Schweinsteiger,2,yes
Kroos,Trochowski,0,no
Kroos,Cacau,0,no
Kroos,Gomez,1,yes
Kroos,Kiessling,1,no
Kroos,Klose,2,yes
Kroos,Mueller,1,yes
Kroos,Podolski,1,no
Marin,Oezil,1,yes
Marin,Schweinsteiger,0,no
Marin,Trochowski,0,no
Marin,Cacau,0,no
Marin,Gomez,0,no
Marin,Kiessling,0,no
Marin,Klose,0,no
Marin,Mueller,0,no
Marin,Podolski,0,no
Oezil,Schweinsteiger,0,no
Oezil,Trochowski,0,no
Oezil,Cacau,0,no
Oezil,Gomez,0,no
Oezil,Kiessling,0,no
Oezil,Klose,0,no
Oezil,Mueller,0,no
Oezil,Podolski,0,no
Schweinsteiger,Trochowski,2,no
Schweinsteiger,Cacau,0,no
Schweinsteiger,Gomez,1,yes
Schweinsteiger,Kiessling,0,no
Schweinsteiger,Klose,3,yes
Schweinsteiger,Mueller,1,yes
Schweinsteiger,Podolski,3,no
Trochowski,Cacau,0,no
Trochowski,Gomez,0,no
Trochowski,Kiessling,0,no
Trochowski,Klose,0,no
Trochowski,Mueller,0,no
Trochowski,Podolski,0,no
Cacau,Gomez,4,no
Cacau,Kiessling,2,no
Cacau,Klose,0,no
Cacau,Mueller,0,no
Cacau,Podolski,0,no
Gomez,Kiessling,0,no
Gomez,Klose,1,yes
Gomez,Mueller,1,yes
Gomez,Podolski,0,no
Kiessling,Klose,0,no
Kiessling,Mueller,0,no
Kiessling,Podolski,0,no
Klose,Mueller,1,yes
Klose,Podolski,2,no
Mueller,Podolski,0,no
