from,to,weight,relation
Areola,Lloris,0,no
Areola,Mandanda,0,no
Areola,Hernandez,0,no
Areola,Kimpembe,2,yes
Areola,Mendy,0,no
Areola,Pavard,0,no
Areola,Rami,0,no
Areola,Sidibe,0,no
Areola,Umtiti,0,no
Areola,Varane,0,no
Areola,Fekir,0,no
Areola,Kante,0,no
Areola,Matuidi,3,no
Areola,NZonzi,0,no
Areola,Pogba,0,no
Areola,Tolisso,0,no
Areola,Thauvin,0,no
Areola,Dembele,0,no
Areola,Giroud,0,no
Areola,Griezmann,0,no
Areola,Mbappe,1,yes
Areola,Lemar,0,no
Lloris,Mandanda,0,no
Lloris,Hernandez,0,no
Lloris,Kimpembe,0,no
Lloris,Mendy,0,no
Lloris,Pavard,0,no
Lloris,Rami,0,no
Lloris,Sidibe,0,no
Lloris,Umtiti,0,no
Lloris,Varane,0,no
Lloris,Fekir,1,no
Lloris,Kante,0,no
Lloris,Matuidi,0,no
Lloris,NZonzi,0,no
Lloris,Pogba,0,no
Lloris,Tolisso,0,no
Lloris,Thauvin,0,no
Lloris,Dembele,0,no
Lloris,Giroud,0,no
Lloris,Griezmann,0,no
Lloris,Mbappe,0,no
Lloris,Lemar,0,no
Mandanda,Hernandez,0,no
Mandanda,Kimpembe,0,no
Mandanda,Mendy,3,no
Mandanda,Pavard,0,no
Mandanda,Rami,1,yes
Mandanda,Sidibe,0,no
Mandanda,Umtiti,6,no
Mandanda,Varane,0,no
Mandanda,Fekir,0,no
Mandanda,Kante,0,no
Mandanda,Matuidi,0,no
Mandanda,NZonzi,0,no
Mandanda,Pogba,0,no
Mandanda,Tolisso,0,no
Mandanda,Thauvin,4,yes
Mandanda,Dembele,0,no
Mandanda,Giroud,0,no
Mandanda,Griezmann,0,no
Mandanda,Mbappe,0,no
Mandanda,Lemar,0,no
Hernandez,Kimpembe,0,no
Hernandez,Mendy,0,no
Hernandez,Pavard,0,no
Hernandez,Rami,0,no
Hernandez,Sidibe,0,no
Hernandez,Umtiti,0,no
Hernandez,Varane,0,no
Hernandez,Fekir,0,no
Hernandez,Kante,0,no
Hernandez,Matuidi,0,no
Hernandez,NZonzi,0,no
Hernandez,Pogba,0,no
Hernandez,Tolisso,0,no
Hernandez,Thauvin,0,no
Hernandez,Dembele,0,no
Hernandez,Giroud,0,no
Hernandez,Griezmann,4,yes
Hernandez,Mbappe,0,no
Hernandez,Lemar,0,no
Kimpembe,Mendy,0,no
Kimpembe,Pavard,0,no
Kimpembe,Rami,0,no
Kimpembe,Sidibe,0,no
Kimpembe,Umtiti,0,no
Kimpembe,Varane,0,no
Kimpembe,Fekir,0,no
Kimpembe,Kante,0,no
Kimpembe,Matuidi,3,no
Kimpembe,NZonzi,0,no
Kimpembe,Pogba,0,no
Kimpembe,Tolisso,0,no
Kimpembe,Thauvin,0,no
Kimpembe,Dembele,0,no
Kimpembe,Giroud,0,no
Kimpembe,Griezmann,0,no
Kimpembe,Mbappe,1,yes
Kimpembe,Lemar,0,no
Mendy,Pavard,0,no
Mendy,Rami,0,no
Mendy,Sidibe,1,no
Mendy,Umtiti,3,no
Mendy,Varane,0,no
Mendy,Fekir,0,no
Mendy,Kante,0,no
Mendy,Matuidi,0,no
Mendy,NZonzi,0,no
Mendy,Pogba,0,no
Mendy,Tolisso,0,no
Mendy,Thauvin,3,no
Mendy,Dembele,0,no
Mendy,Giroud,0,no
Mendy,Griezmann,0,no
Mendy,Mbappe,1,no
Mendy,Lemar,1,no
Pavard,Rami,0,no
Pavard,Sidibe,2,no
Pavard,Umtiti,0,no
Pavard,Varane,0,no
Pavard,Fekir,0,no
Pavard,Kante,0,no
Pavard,Matuidi,0,no
Pavard,NZonzi,0,no
Pavard,Pogba,0,no
Pavard,Tolisso,0,no
Pavard,Thauvin,0,no
Pavard,Dembele,0,no
Pavard,Giroud,0,no
Pavard,Griezmann,0,no
Pavard,Mbappe,0,no
Pavard,Lemar,0,no
Rami,Sidibe,0,no
Rami,Umtiti,0,no
Rami,Varane,0,no
Rami,Fekir,0,no
Rami,Kante,0,no
Rami,Matuidi,0,no
Rami,NZonzi,2,no
Rami,Pogba,0,no
Rami,Tolisso,0,no
Rami,Thauvin,1,yes
Rami,Dembele,0,no
Rami,Giroud,0,no
Rami,Griezmann,0,no
Rami,Mbappe,0,no
Rami,Lemar,0,no
Sidibe,Umtiti,0,no
Sidibe,Varane,0,no
Sidibe,Fekir,0,no
Sidibe,Kante,0,no
Sidibe,Matuidi,0,no
Sidibe,NZonzi,0,no
Sidibe,Pogba,0,no
Sidibe,Tolisso,0,no
Sidibe,Thauvin,1,no
Sidibe,Dembele,0,no
Sidibe,Giroud,0,no
Sidibe,Griezmann,0,no
Sidibe,Mbappe,1,no
Sidibe,Lemar,2,yes
Umtiti,Varane,0,no
Umtiti,Fekir,0,no
Umtiti,Kante,0,no
Umtiti,Matuidi,0,no
Umtiti,NZonzi,0,no
Umtiti,Pogba,0,no
Umtiti,Tolisso,0,no
Umtiti,Thauvin,3,no
Umtiti,Dembele,1,yes
Umtiti,Giroud,0,no
Umtiti,Griezmann,0,no
Umtiti,Mbappe,0,no
Umtiti,Lemar,0,no
Varane,Fekir,0,no
Varane,Kante,0,no
Varane,Matuidi,0,no
Varane,NZonzi,0,no
Varane,Pogba,0,no
Varane,Tolisso,0,no
Varane,Thauvin,0,no
Varane,Dembele,0,no
Varane,Giroud,0,no
Varane,Griezmann,0,no
Varane,Mbappe,0,no
Varane,Lemar,0,no
Fekir,Kante,0,no
Fekir,Matuidi,0,no
Fekir,NZonzi,0,no
Fekir,Pogba,0,no
Fekir,Tolisso,5,no
Fekir,Thauvin,0,no
Fekir,Dembele,0,no
Fekir,Giroud,0,no
Fekir,Griezmann,0,no
Fekir,Mbappe,0,no
Fekir,Lemar,0,no
Kante,Matuidi,0,no
Kante,NZonzi,0,no
Kante,Pogba,0,no
Kante,Tolisso,0,no
Kante,Thauvin,0,no
Kante,Dembele,0,no
Kante,Giroud,1,yes
Kante,Griezmann,0,no
Kante,Mbappe,0,no
Kante,Lemar,2,no
Matuidi,NZonzi,0,no
Matuidi,Pogba,0,no
Matuidi,Tolisso,0,no
Matuidi,Thauvin,0,no
Matuidi,Dembele,0,no
Matuidi,Giroud,0,no
Matuidi,Griezmann,0,no
Matuidi,Mbappe,0,no
Matuidi,Lemar,0,no
NZonzi,Pogba,0,no
NZonzi,Tolisso,0,no
NZonzi,Thauvin,0,no
NZonzi,Dembele,0,no
NZonzi,Giroud,0,no
NZonzi,Griezmann,0,no
NZonzi,Mbappe,0,no
NZonzi,Lemar,0,no
Pogba,Tolisso,0,no
Pogba,Thauvin,0,no
Pogba,Dembele,0,no
Pogba,Giroud,0,no
Pogba,Griezmann,0,no
Pogba,Mbappe,0,no
Pogba,Lemar,0,no
Tolisso,Thauvin,0,no
Tolisso,Dembele,0,no
Tolisso,Giroud,0,no
Tolisso,Griezmann,0,no
Tolisso,Mbappe,0,no
Tolisso,Lemar,0,no
Thauvin,Dembele,0,no
Thauvin,Giroud,0,no
Thauvin,Griezmann,0,no
Thauvin,Mbappe,0,no
Thauvin,Lemar,0,no
Dembele,Giroud,0,no
Dembele,Griezmann,0,no
Dembele,Mbappe,0,no
Dembele,Lemar,0,no
Giroud,Griezmann,0,no
Giroud,Mbappe,0,no
Giroud,Lemar,0,no
Griezmann,Mbappe,0,no
Griezmann,Lemar,0,no
Mbappe,Lemar,2,no
