from,to,weight,relation
Casillas,Arbeloa,2,no
Casillas,Albiol,1,yes
Casillas,Ramos,4,yes
Casillas,Alonso,1,yes
Reina,Valdés,1,no
Reina,Arbeloa,3,yes
Reina,Puyol,3,no
Reina,Iniesta,1,no
Reina,Alonso,4,no
Reina,Xavi,3,no
Reina,Torres,3,yes
Valdés,Piqué,2,yes
Valdés,Puyol,10,yes
Valdés,Busquets,2,yes
Valdés,Iniesta,10,yes
Valdés,Xavi,10,yes
Valdés,Pedro,3,yes
Arbeloa,Capdevilla,1,no
Arbeloa,Alonso,2,no
Arbeloa,Torres,3,yes
Marchena,Albiol,6,no
Marchena,Silva,4,yes
Marchena,Villa,5,yes
Marchena,Mata,3,yes
Piqué,Puyol,2,yes
Piqué,Busquets,2,yes
Piqué,Iniesta,2,yes
Piqué,Xavi,2,yes
Piqué,Pedro,2,yes
Puyol,Busquets,2,yes
Puyol,Iniesta,10,yes
Puyol,Xavi,12,yes
Puyol,Pedro,3,yes
Albiol,Ramos,1,yes
Albiol,Silva,3,no
Albiol,Alonso,1,yes
Albiol,Villa,4,no
Albiol,Mata,2,no
Ramos,Navas,3,no
Ramos,Alonso,1,yes
Busquets,Iniesta,2,yes
Busquets,Xavi,2,yes
Busquets,Pedro,2,yes
Silva,Villa,4,yes
Silva,Mata,3,yes
Iniesta,Xavi,10,yes
Iniesta,Pedro,3,yes
Martinez,Llorrente,6,yes
Alonso,Torres,2,no
Xavi,Pedro,3,yes
Villa,Mata,3,yes
