id,number,club,age,value,,
Neuer,1,FCB,28,7,,
Weidenfeller,22,BVB,34,0,,
Zieler,12,H96,25,0,,
Boateng,20,FCB,26,7,,
Durm,15,BVB,22,0,,
Ginter,3,SCF,20,0,,
Grosskreutz,2,BVB,25,0,,
Hoewedes,4,S04,26,7,,
Hummels,5,BVB,25,6,,
Lahm,16,FCB,31,7,,
Mertesacker,17,ARS,29,6,,
Mustafi,21,SAM,22,3,,
Draxler,14,S04,20,1,,
Goetze,19,FCB,22,6,,
Khedira,6,RMA,27,5,,
Kramer,23,BMG,23,3,,
Kroos,18,FCB,24,7,,
Oezil,8,ARS,25,7,,
Podolski,10,ARS,29,2,,
Schuerrle,9,CHE,23,6,,
Schweinsteiger,7,FCB,29,6,, 
Klose,11,LAZ,36,5,,
Mueller ,13,FCB,24,7,,
