id,number,club,age,value
Carrassco,23,GDB,28,0/3
Lloris,1,OL,23,3/3
Mandanda,16,OM,25,0/3
Abidal,3,BAR,30,2/3
Glichy,22,ARS,24,1/3
Evra,13,MANU,29,2/3
Gallas,5,ARS,32,3/3
Planus,6,GDB,28,0/3
Réveillere,4,OL,30,0/3
Sagna,2,ARS,27,3/3
Squillaci,17,SEV,29,1/3
Diaby,19,ARS,24,3/3
Diarra,18,GDB,28,1/3
Gourcuff,8,GDB,23,2/3
Malouda,15,CHE,30,3/3
Ribéry,7,FCB,27,3/3
Toulalan,14,OL,26,2/3
Anelka,21,CHE,31,2/3
Cissé,9,PAO,28,1/3
Gignac,11,TOU,24,3/3
Govou,10,OL,30,3/3
Henry,12,BAR,32,2/3
Valbuena,20,OM,25,1/3
