id,number,club,age,value
Neuer,1,S04,24,6/7
Butt,22,FCB,36,1/7
Wiese,12,SVW,28,0/7
Aogo,4,HSV,23,1/7
Badstuber,14,FCB,21,2/7
Boateng,20,MCI,21,5/7
Friedrich,3,WOB,31,7/7
Lahm,16,FCB,26,6/7
Mertesacker,17,SVW,24,7/7
Tasci,5,VFB,23,1/7
Jansen,2,HSV,24,4/7
Khedira,6,VFB,23,7/7
Kroos,18,FCB,20,4/7
Marin,21,SVW,21,2/7
Oezil,8,SVW,21,7/7
Schweinsteiger,7,FCB,25,7/7
Trochowski,15,HSV,26,4/7
Cacau,19,VFB,29,4/7
Gomez,23,FCB,25,4/7
Kiessling,9,B04,26,2/7
Klose,11,FCB,32,5/7
Mueller,13,FCB,20,6/7
Podolski,10,KOE,25,6/7
