from,to,weight,relation
Casillas,deGea,0,no
Casillas,Reina,0,no
Casillas,Azpilicueta,0,no
Casillas,Martinez,0,no
Casillas,Alba,0,no
Casillas,Juanfran,2,no
Casillas,Piqué,0,no
Casillas,Albiol,4,no
Casillas,Ramos,8,yes
Casillas,Busquets,0,no
Casillas,Iniesta,0,no
Casillas,Koke,0,no
Casillas,Mata,0,no
Casillas,Cazorla,0,no
Casillas,Silva,0,no
Casillas,Alonso,5,yes
Casillas,Xavi,0,no
Casillas,Costa,0,no
Casillas,Fabregas,0,no
Casillas,Torres,0,no
Casillas,Pedro,0,no
Casillas,Villa,0,no
deGea,Reina,0,no
deGea,Azpilicueta,0,no
deGea,Martinez,0,no
deGea,Alba,0,no
deGea,Juanfran,1,no
deGea,Piqué,0,no
deGea,Albiol,0,no
deGea,Ramos,0,no
deGea,Busquets,0,no
deGea,Iniesta,0,no
deGea,Koke,2,no
deGea,Mata,0,no
deGea,Cazorla,0,no
deGea,Silva,0,no
deGea,Alonso,0,no
deGea,Xavi,0,no
deGea,Costa,1,no
deGea,Fabregas,0,no
deGea,Torres,0,no
deGea,Pedro,0,no
deGea,Villa,0,no
Reina,Azpilicueta,0,no
Reina,Martinez,0,no
Reina,Alba,0,no
Reina,Juanfran,0,no
Reina,Piqué,0,no
Reina,Albiol,1,yes
Reina,Ramos,0,no
Reina,Busquets,0,no
Reina,Iniesta,0,no
Reina,Koke,0,no
Reina,Mata,0,no
Reina,Cazorla,2,no
Reina,Silva,0,no
Reina,Alonso,4,no
Reina,Xavi,3,no
Reina,Costa,0,no
Reina,Fabregas,0,no
Reina,Torres,4,no
Reina,Pedro,0,no
Reina,Villa,0,no
Azpilicueta,Martinez,0,no
Azpilicueta,Alba,0,no
Azpilicueta,Juanfran,4,no
Azpilicueta,Piqué,0,no
Azpilicueta,Albiol,0,no
Azpilicueta,Ramos,0,no
Azpilicueta,Busquets,0,no
Azpilicueta,Iniesta,0,no
Azpilicueta,Koke,0,no
Azpilicueta,Mata,2,yes
Azpilicueta,Cazorla,0,no
Azpilicueta,Silva,0,no
Azpilicueta,Alonso,0,no
Azpilicueta,Xavi,0,no
Azpilicueta,Costa,0,no
Azpilicueta,Fabregas,0,no
Azpilicueta,Torres,2,yes
Azpilicueta,Pedro,0,no
Azpilicueta,Villa,0,no
Martinez,Alba,0,no
Martinez,Juanfran,0,no
Martinez,Piqué,0,no
Martinez,Albiol,0,no
Martinez,Ramos,0,no
Martinez,Busquets,0,no
Martinez,Iniesta,0,no
Martinez,Koke,0,no
Martinez,Mata,0,no
Martinez,Cazorla,0,no
Martinez,Silva,0,no
Martinez,Alonso,0,no
Martinez,Xavi,0,no
Martinez,Costa,0,no
Martinez,Fabregas,0,no
Martinez,Torres,0,no
Martinez,Pedro,0,no
Martinez,Villa,0,no
Alba,Juanfran,0,no
Alba,Piqué,2,yes
Alba,Albiol,2,no
Alba,Ramos,0,no
Alba,Busquets,2,yes
Alba,Iniesta,2,yes
Alba,Koke,0,no
Alba,Mata,4,no
Alba,Cazorla,0,no
Alba,Silva,3,no
Alba,Alonso,0,no
Alba,Xavi,2,yes
Alba,Costa,0,no
Alba,Fabregas,2,yes
Alba,Torres,0,no
Alba,Pedro,2,yes
Alba,Villa,1,no
Juanfran,Piqué,0,no
Juanfran,Albiol,0,no
Juanfran,Ramos,0,no
Juanfran,Busquets,0,no
Juanfran,Iniesta,0,no
Juanfran,Koke,4,yes
Juanfran,Mata,0,no
Juanfran,Cazorla,0,no
Juanfran,Silva,0,no
Juanfran,Alonso,0,no
Juanfran,Xavi,0,no
Juanfran,Costa,4,yes
Juanfran,Fabregas,0,no
Juanfran,Torres,0,no
Juanfran,Pedro,0,no
Juanfran,Villa,1,yes
Piqué,Albiol,0,no
Piqué,Ramos,0,no
Piqué,Busquets,6,yes
Piqué,Iniesta,6,yes
Piqué,Koke,0,no
Piqué,Mata,0,no
Piqué,Cazorla,0,no
Piqué,Silva,0,no
Piqué,Alonso,0,no
Piqué,Xavi,6,yes
Piqué,Costa,0,no
Piqué,Fabregas,3,yes
Piqué,Torres,0,no
Piqué,Pedro,6,yes
Piqué,Villa,3,no
Albiol,Ramos,4,no
Albiol,Busquets,0,no
Albiol,Iniesta,0,no
Albiol,Koke,0,no
Albiol,Mata,2,no
Albiol,Cazorla,0,no
Albiol,Silva,3,no
Albiol,Alonso,4,no
Albiol,Xavi,0,no
Albiol,Costa,0,no
Albiol,Fabregas,0,no
Albiol,Torres,0,no
Albiol,Pedro,0,no
Albiol,Villa,4,no
Ramos,Busquets,0,no
Ramos,Iniesta,0,no
Ramos,Koke,0,no
Ramos,Mata,0,no
Ramos,Cazorla,0,no
Ramos,Silva,0,no
Ramos,Alonso,5,yes
Ramos,Xavi,0,no
Ramos,Costa,0,no
Ramos,Fabregas,0,no
Ramos,Torres,0,no
Ramos,Pedro,0,no
Ramos,Villa,0,no
Busquets,Iniesta,6,yes
Busquets,Koke,0,no
Busquets,Mata,0,no
Busquets,Cazorla,0,no
Busquets,Silva,0,no
Busquets,Alonso,0,no
Busquets,Xavi,6,yes
Busquets,Costa,0,no
Busquets,Fabregas,3,yes
Busquets,Torres,0,no
Busquets,Pedro,6,yes
Busquets,Villa,3,no
Iniesta,Koke,0,no
Iniesta,Mata,0,no
Iniesta,Cazorla,0,no
Iniesta,Silva,0,no
Iniesta,Alonso,0,no
Iniesta,Xavi,14,yes
Iniesta,Costa,0,no
Iniesta,Fabregas,3,yes
Iniesta,Torres,0,no
Iniesta,Pedro,7,yes
Iniesta,Villa,3,no
Koke,Mata,0,no
Koke,Cazorla,0,no
Koke,Silva,0,no
Koke,Alonso,0,no
Koke,Xavi,0,no
Koke,Costa,4,yes
Koke,Fabregas,0,no
Koke,Torres,0,no
Koke,Pedro,0,no
Koke,Villa,1,yes
Mata,Cazorla,0,no
Mata,Silva,3,no
Mata,Alonso,0,no
Mata,Xavi,0,no
Mata,Costa,0,no
Mata,Fabregas,0,no
Mata,Torres,3,yes
Mata,Pedro,0,no
Mata,Villa,3,no
Cazorla,Silva,0,no
Cazorla,Alonso,0,no
Cazorla,Xavi,0,no
Cazorla,Costa,0,no
Cazorla,Fabregas,0,no
Cazorla,Torres,0,no
Cazorla,Pedro,0,no
Cazorla,Villa,0,no
Silva,Alonso,0,no
Silva,Xavi,0,no
Silva,Costa,0,no
Silva,Fabregas,0,no
Silva,Torres,0,no
Silva,Pedro,0,no
Silva,Villa,4,no
Alonso,Xavi,0,no
Alonso,Costa,0,no
Alonso,Fabregas,0,no
Alonso,Torres,0,no
Alonso,Pedro,0,no
Alonso,Villa,0,no
Xavi,Costa,0,no
Xavi,Fabregas,3,yes
Xavi,Torres,0,no
Xavi,Pedro,7,yes
Xavi,Villa,3,no
Costa,Fabregas,0,no
Costa,Torres,0,no
Costa,Pedro,0,no
Costa,Villa,1,yes
Fabregas,Torres,0,no
Fabregas,Pedro,3,yes
Fabregas,Villa,2,no
Torres,Pedro,0,no
Torres,Villa,0,no
Pedro,Villa,3,no
