from,to,weight,relation
deGea,Kepa,0,no
deGea,Reina,0,no
deGea,Azpilicueta,0,no
deGea,Carvajal,0,no
deGea,Alba,0,no
deGea,Monreal,0,no
deGea,Nacho,0,no
deGea,Odriozola,0,no
deGea,Piqué,0,no
deGea,Ramos,0,no
deGea,Asensio,0,no
deGea,Busquets,0,no
deGea,Iniesta,0,no
deGea,Isco,0,no
deGea,Koke,2,no
deGea,Niguez,2,no
deGea,Silva,0,no
deGea,Thiago,0,no
deGea,Vazquez,0,no
deGea,Costa,1,no
deGea,Aspas,0,no
deGea,Moreno,0,no
Kepa,Reina,0,no
Kepa,Azpilicueta,0,no
Kepa,Carvajal,0,no
Kepa,Alba,0,no
Kepa,Monreal,0,no
Kepa,Nacho,0,no
Kepa,Odriozola,0,no
Kepa,Piqué,0,no
Kepa,Ramos,0,no
Kepa,Asensio,0,no
Kepa,Busquets,0,no
Kepa,Iniesta,0,no
Kepa,Isco,0,no
Kepa,Koke,0,no
Kepa,Niguez,0,no
Kepa,Silva,0,no
Kepa,Thiago,0,no
Kepa,Vazquez,0,no
Kepa,Costa,0,no
Kepa,Aspas,0,no
Kepa,Moreno,0,no
Reina,Azpilicueta,0,no
Reina,Carvajal,0,no
Reina,Alba,0,no
Reina,Monreal,0,no
Reina,Nacho,0,no
Reina,Odriozola,0,no
Reina,Piqué,0,no
Reina,Ramos,0,no
Reina,Asensio,0,no
Reina,Busquets,0,no
Reina,Iniesta,0,no
Reina,Isco,0,no
Reina,Koke,0,no
Reina,Niguez,0,no
Reina,Silva,0,no
Reina,Thiago,1,no
Reina,Vazquez,0,no
Reina,Costa,0,no
Reina,Aspas,0,no
Reina,Moreno,0,no
Azpilicueta,Carvajal,0,no
Azpilicueta,Alba,0,no
Azpilicueta,Monreal,4,no
Azpilicueta,Nacho,0,no
Azpilicueta,Odriozola,0,no
Azpilicueta,Piqué,0,no
Azpilicueta,Ramos,0,no
Azpilicueta,Asensio,0,no
Azpilicueta,Busquets,0,no
Azpilicueta,Iniesta,0,no
Azpilicueta,Isco,0,no
Azpilicueta,Koke,0,no
Azpilicueta,Niguez,0,no
Azpilicueta,Silva,0,no
Azpilicueta,Thiago,0,no
Azpilicueta,Vazquez,0,no
Azpilicueta,Costa,3,no
Azpilicueta,Aspas,0,no
Azpilicueta,Moreno,0,no
Carvajal,Alba,0,no
Carvajal,Monreal,0,no
Carvajal,Nacho,7,yes
Carvajal,Odriozola,0,no
Carvajal,Piqué,0,no
Carvajal,Ramos,7,yes
Carvajal,Asensio,2,yes
Carvajal,Busquets,0,no
Carvajal,Iniesta,0,no
Carvajal,Isco,5,yes
Carvajal,Koke,0,no
Carvajal,Niguez,0,no
Carvajal,Silva,0,no
Carvajal,Thiago,0,no
Carvajal,Vazquez,6,yes
Carvajal,Costa,0,no
Carvajal,Aspas,0,no
Carvajal,Moreno,0,no
Alba,Monreal,0,no
Alba,Nacho,0,no
Alba,Odriozola,0,no
Alba,Piqué,6,yes
Alba,Ramos,0,no
