id,number,club,age,value,,
Neuer,1,FCB,28,7/7,,
Weidenfeller,22,BVB,34,0/7,,
Zieler,12,H96,25,0/7,,
Boateng,20,FCB,26,7/7,,
Durm,15,BVB,22,0/7,,
Ginter,3,SCF,20,0/7,,
Grosskreutz,2,BVB,25,0/7,,
Hoewedes,4,S04,26,7/7,,
Hummels,5,BVB,25,6/7,,
Lahm,16,FCB,31,7/7,,
Mertesacker,17,ARS,29,6/7,,
Mustafi,21,SAM,22,3/7,,
Draxler,14,S04,20,1/7,,
Goetze,19,FCB,22,6/7,,
Khedira,6,RMA,27,5/7,,
Kramer,23,BMG,23,3/7,,
Kroos,18,FCB,24,7/7,,
Oezil,8,ARS,25,7/7,,
Podolski,10,ARS,29,2/7,,
Schuerrle,9,CHE,23,6/7,,
Schweinsteiger,7,FCB,29,6/7,, 
Klose,11,LAZ,36,5/7,,
Mueller ,13,FCB,24,7/7,,
