id,number,club,age,value
Neuer,1,FCB,32,3/3
TerStegen,22,BAR,26,0
Trapp,12,PSG,27,0
Boateng,17,FCB,30,2/3
Ginter,4,BMG,24,0
Hector,3,KOE,28,2/3
Hummels,5,FCB,29,2/3
Kimmich,18,FCB,23,3/3
Plattenhardt,2,BSC,26,1/3
Rüdiger,16,CHE,25,1/3
Süle,15,FCB,22,1/3
Brandt,20,B04,22,3/3
Draxler,7,PSG,24,1/3
Goretzka,14,S04,23,1/3
Gündogan,21,MCI,27,1/3
Khedira,6,JUV,31,2/3
Kroos,8,RMA,28,3/3
Oezil,10,ARS,29,2/3
Rudy,19,FCB,28,1/3
Gomez,23,VFB,32,3/3
Mueller,13,FCB,28,3/3
Reus,11,BVB,29,3/3
Werner,9,RBL,22,3/3
