id,number,club,age,value
Casillas,1,RMA,33,2/3
deGea,12,MUN,24,0/3
Reina,23,NEA,32,1/3
Azpilicueta,22,CHE,25,2/3
Martinez,4,FCB,26,1/3
Alba,18,BAR,25,3/3
Juanfran,5,ATM,29,1/3
Piqué,3,BAR,27,1/3
Albiol,2,NEA,29,1/3
Ramos,15,RMA,28,3/3
Busquets,16,BAR,26,2/3
Iniesta,6,BAR,30,3/3
Koke,17,ATM,22,2/3
Mata,13,CHE,26,1/3
Cazorla,20,ARS,30,2/3
Silva,21,MCI,28,3/3
Alonso,14,RMA,33,3/3
Xavi,8,FCB,34,1/3
Costa,19,ATM,26,2/3
Fabregas,10,BAR,27,2/3
Torres,9,CHE,30,3/3
Pedro,11,BAR,27,2/3
Villa,7,ATM,33,1/3
