id,number,club,age,value
deGea,1,MUN,28,4/4
Kepa,13,ATH,24,0/4
Reina,23,NEA,36,0/4
Azpilicueta,14,CHE,29,0/4
Carvajal,2,RMA,26,3/4
Alba,18,BAR,29,4/4
Monreal,16,ARS,32,0/4
Nacho,4,RMA,28,2/4
Odriozola,12,RSO,23,0/4
Piqué,3,BAR,31,4/4
Ramos,15,RMA,32,4/4
Asensio,20,RMA,22,3/4
Busquets,5,BAR,30,4/4
Iniesta,6,BAR,34,4/4
Isco,22,RMA,26,4/4
Koke,8,ATM,26,3/4
Niguez,7,ATM,24,0/4
Silva,21,MCI,32,4/4
Thiago,10,FCB,27,2/4
Vazquez,11,RMA,27,2/4
Costa,19,ATM,30,4/4
Aspas,17,CEL,31,3/4
Moreno,9,CEL,27,3/4
